Date,Price,Open,High,Low,Vol.,Change %
31-Jul-17,2856.00,2748.90,2883.50,2694.80,27.56K,3.89%
30-Jul-17,2749.00,2713.70,2756.20,2595.00,34.97K,1.29%
29-Jul-17,2714.10,2784.80,2794.20,2662.60,24.25K,-2.54%
28-Jul-17,2784.80,2664.60,2819.90,2655.50,40.54K,4.50%
27-Jul-17,2664.90,2527.70,2682.20,2511.00,31.36K,5.51%
26-Jul-17,2525.70,2560.90,2612.00,2404.60,34.18K,-1.37%
25-Jul-17,2560.90,2769.70,2790.10,2435.70,56.10K,-7.54%
24-Jul-17,2769.70,2750.10,2812.00,2707.30,20.71K,0.81%
23-Jul-17,2747.50,2845.70,2875.70,2656.20,35.18K,-3.45%
22-Jul-17,2845.70,2659.00,2912.90,2642.80,35.25K,6.82%
21-Jul-17,2664.00,2874.50,2874.50,2615.00,57.43K,-6.73%
20-Jul-17,2856.30,2253.30,2919.90,2253.30,83.44K,26.77%
19-Jul-17,2253.10,2302.20,2399.90,2214.20,35.81K,-2.13%
18-Jul-17,2302.10,2220.00,2380.20,2139.80,44.10K,3.74%
17-Jul-17,2219.00,1925.00,2223.30,1924.10,40.48K,15.28%
16-Jul-17,1924.90,1979.70,2048.80,1835.80,53.02K,-2.71%
15-Jul-17,1978.60,2206.50,2210.10,1975.70,41.76K,-10.27%
14-Jul-17,2205.10,2329.40,2345.60,2138.00,27.74K,-5.32%
13-Jul-17,2329.00,2375.60,2400.00,2293.80,18.42K,-1.91%
12-Jul-17,2374.40,2285.60,2394.00,2195.80,21.67K,4.04%
11-Jul-17,2282.10,2318.30,2372.80,2183.30,33.06K,-1.56%
10-Jul-17,2318.30,2477.90,2498.10,2240.00,28.09K,-6.44%
9-Jul-17,2478.00,2542.00,2555.60,2473.70,7.78K,-2.52%
8-Jul-17,2542.00,2479.30,2542.60,2436.80,9.69K,2.53%
7-Jul-17,2479.30,2593.20,2598.00,2447.00,17.68K,-4.39%
6-Jul-17,2593.10,2598.60,2603.30,2546.00,9.83K,-0.21%
5-Jul-17,2598.50,2579.90,2617.60,2482.50,13.54K,0.62%
4-Jul-17,2582.60,2525.90,2628.00,2512.40,15.75K,2.32%
3-Jul-17,2524.00,2445.10,2584.00,2416.20,16.14K,3.23%
2-Jul-17,2445.00,2346.20,2470.00,2302.00,12.03K,4.06%
1-Jul-17,2349.50,2420.60,2440.90,2291.00,15.08K,-2.94%
30-Jun-17,2420.70,2472.40,2511.10,2406.60,10.40K,-2.00%
29-Jun-17,2470.10,2518.20,2537.00,2424.10,12.96K,-1.91%
28-Jun-17,2518.20,2521.30,2561.10,2403.20,21.83K,-0.12%
27-Jun-17,2521.20,2393.50,2524.00,2208.10,33.49K,5.29%
26-Jun-17,2394.60,2480.00,2510.40,2258.70,36.37K,-3.35%
25-Jun-17,2477.70,2502.60,2595.00,2369.10,18.13K,-0.99%
24-Jun-17,2502.60,2674.90,2700.00,2454.10,16.77K,-6.44%
23-Jun-17,2674.90,2672.80,2725.30,2652.80,8.14K,0.08%
22-Jun-17,2672.80,2624.40,2709.00,2554.80,15.18K,1.97%
21-Jun-17,2621.20,2715.30,2760.00,2573.30,24.54K,-3.36%
20-Jun-17,2712.20,2585.00,2779.60,2568.20,20.56K,5.09%
19-Jun-17,2580.80,2494.90,2592.70,2481.40,13.71K,3.58%
18-Jun-17,2491.50,2610.10,2635.00,2421.00,19.99K,-4.54%
17-Jun-17,2610.00,2435.50,2636.90,2368.70,16.64K,7.10%
16-Jun-17,2437.00,2377.50,2480.00,2261.20,22.41K,2.51%
15-Jun-17,2377.40,2394.30,2455.00,2050.00,55.83K,-0.74%
14-Jun-17,2395.00,2677.10,2720.00,2284.40,34.71K,-10.51%
13-Jun-17,2676.40,2570.00,2730.00,2532.60,23.18K,4.07%
12-Jun-17,2571.80,2941.80,2961.90,2298.20,48.34K,-12.41%
11-Jun-17,2936.30,2806.00,3000.00,2793.80,19.03K,4.64%
10-Jun-17,2806.00,2809.90,2890.50,2750.80,16.17K,-0.11%
9-Jun-17,2809.00,2781.50,2849.80,2769.60,9.52K,0.97%
8-Jun-17,2782.10,2642.00,2789.30,2570.10,16.98K,5.28%
7-Jun-17,2642.60,2844.60,2850.00,2600.20,22.10K,-7.07%
6-Jun-17,2843.60,2636.90,2896.50,2620.00,42.68K,7.87%
5-Jun-17,2636.20,2488.20,2637.50,2480.00,15.39K,5.95%
4-Jun-17,2488.20,2461.60,2498.00,2376.40,11.88K,1.11%
3-Jun-17,2461.00,2405.90,2481.00,2348.00,10.77K,2.29%
2-Jun-17,2405.90,2312.00,2407.80,2271.90,12.55K,4.08%
1-Jun-17,2311.60,2191.80,2366.70,2187.40,18.96K,5.46%
31-May-17,2191.80,2147.30,2240.10,2002.10,21.24K,2.10%
30-May-17,2146.70,2207.40,2263.10,2080.40,21.45K,-2.75%
29-May-17,2207.40,2056.90,2249.80,1990.10,16.46K,7.33%
28-May-17,2056.60,1980.00,2193.00,1955.50,25.78K,4.27%
27-May-17,1972.30,2125.90,2207.90,1810.00,47.12K,-7.29%
26-May-17,2127.30,2268.10,2477.00,2008.70,39.76K,-5.54%
25-May-17,2252.00,2392.60,2689.00,2142.10,55.10K,-5.96%
24-May-17,2394.80,2250.00,2443.80,2247.70,29.63K,6.47%
23-May-17,2249.30,2087.50,2262.90,2060.00,22.49K,7.85%
22-May-17,2085.50,2026.50,2219.90,1979.20,57.24K,2.77%
21-May-17,2029.20,2059.30,2099.10,2001.00,17.22K,-1.48%
20-May-17,2059.70,1966.50,2072.20,1963.60,21.69K,4.74%
19-May-17,1966.50,1941.50,2000.00,1925.00,23.00K,1.29%
18-May-17,1941.50,1870.00,1949.90,1861.00,12.91K,3.82%
17-May-17,1870.00,1786.20,1892.90,1766.40,15.91K,4.72%
16-May-17,1785.70,1772.00,1795.10,1728.00,9.86K,0.74%
15-May-17,1772.50,1826.80,1828.50,1720.00,15.76K,-3.04%
14-May-17,1828.10,1820.60,1852.40,1780.00,11.31K,0.42%
13-May-17,1820.40,1735.00,1824.00,1666.00,16.60K,4.92%
12-May-17,1735.00,1853.90,1864.80,1700.80,21.40K,-6.41%
11-May-17,1853.90,1796.90,1908.00,1766.60,24.39K,3.18%
10-May-17,1796.80,1759.80,1817.40,1722.30,18.62K,2.09%
9-May-17,1760.00,1703.50,1813.90,1695.10,31.21K,3.33%
8-May-17,1703.20,1619.80,1715.00,1618.90,19.91K,5.14%
7-May-17,1619.90,1597.00,1631.30,1575.10,13.91K,1.43%
6-May-17,1597.10,1545.10,1605.00,1545.00,14.02K,3.37%
5-May-17,1545.10,1607.20,1665.50,1511.70,32.64K,-3.86%
4-May-17,1607.10,1619.40,1701.90,1521.10,31.49K,-0.66%
3-May-17,1617.80,1558.50,1626.90,1542.00,17.07K,3.71%
2-May-17,1560.00,1533.00,1604.60,1479.20,16.73K,1.75%
1-May-17,1533.10,1435.00,1560.00,1432.00,22.30K,6.82%
30-Apr-17,1435.20,1425.40,1443.50,1403.30,8.52K,0.81%
29-Apr-17,1423.60,1415.60,1436.60,1401.50,8.77K,0.57%
28-Apr-17,1415.60,1440.30,1447.00,1368.30,14.02K,-1.71%
27-Apr-17,1440.30,1399.30,1449.70,1392.50,10.40K,2.93%
26-Apr-17,1399.30,1371.00,1411.70,1365.10,11.81K,2.12%
25-Apr-17,1370.30,1345.00,1378.50,1342.10,8.27K,1.88%
24-Apr-17,1345.00,1355.30,1359.60,1326.90,7.91K,-0.75%
23-Apr-17,1355.20,1346.40,1359.00,1336.00,7.75K,0.57%
22-Apr-17,1347.50,1327.10,1353.10,1290.10,12.37K,1.65%
21-Apr-17,1325.60,1308.70,1333.10,1307.50,8.00K,1.31%
20-Apr-17,1308.40,1260.50,1325.70,1260.10,15.62K,3.80%
19-Apr-17,1260.50,1265.40,1272.00,1255.00,7.58K,-0.39%
18-Apr-17,1265.40,1240.00,1274.80,1237.00,16.14K,2.05%
17-Apr-17,1240.00,1212.50,1247.00,1202.20,15.15K,2.31%
16-Apr-17,1212.00,1193.30,1217.60,1190.40,4.50K,1.57%
15-Apr-17,1193.30,1206.80,1215.00,1190.00,9.15K,-1.12%
14-Apr-17,1206.80,1187.00,1219.10,1184.00,12.32K,1.67%
13-Apr-17,1187.00,1227.40,1235.10,1163.50,19.14K,-3.29%
12-Apr-17,1227.40,1236.90,1239.00,1221.00,12.01K,-0.66%
11-Apr-17,1235.60,1220.30,1243.40,1209.10,9.56K,1.25%
10-Apr-17,1220.30,1215.90,1229.90,1208.10,11.55K,0.36%
9-Apr-17,1215.90,1188.10,1226.90,1180.20,16.31K,2.34%
8-Apr-17,1188.10,1196.60,1202.60,1171.30,11.02K,-0.71%
7-Apr-17,1196.60,1191.50,1208.90,1176.70,20.44K,0.43%
6-Apr-17,1191.50,1140.30,1206.40,1140.30,32.17K,4.46%
5-Apr-17,1140.60,1145.80,1146.70,1112.30,22.55K,-0.38%
4-Apr-17,1145.00,1150.10,1161.90,1124.10,21.16K,-0.45%
3-Apr-17,1150.20,1107.80,1159.90,1107.80,30.42K,3.85%
2-Apr-17,1107.60,1093.50,1118.20,1081.00,20.42K,1.32%
1-Apr-17,1093.20,1081.30,1106.90,1070.20,17.00K,1.06%
31-Mar-17,1081.70,1042.10,1089.40,1041.00,27.50K,3.91%
30-Mar-17,1041.00,1041.70,1053.50,1022.20,24.81K,-0.08%
29-Mar-17,1041.80,1044.70,1058.90,1009.30,22.32K,-0.28%
28-Mar-17,1044.70,1042.80,1066.50,1016.80,25.25K,0.19%
27-Mar-17,1042.70,968.90,1046.90,960.10,31.91K,7.61%
26-Mar-17,969.00,971.30,1005.50,950.10,33.26K,-0.33%
25-Mar-17,972.20,942.10,980.00,891.00,46.01K,3.08%
24-Mar-17,943.10,1032.70,1034.20,928.30,43.52K,-8.70%
23-Mar-17,1033.00,1039.40,1055.00,1018.00,19.33K,-0.59%
22-Mar-17,1039.10,1115.90,1116.00,986.30,41.33K,-6.81%
21-Mar-17,1115.00,1040.40,1120.90,1040.10,33.42K,7.31%
20-Mar-17,1039.00,1016.50,1052.10,1011.20,20.53K,2.25%
19-Mar-17,1016.10,971.90,1058.90,971.00,40.55K,4.64%
18-Mar-17,971.00,1067.80,1097.10,935.10,87.88K,-9.12%
17-Mar-17,1068.40,1169.10,1169.60,1066.00,59.21K,-8.61%
16-Mar-17,1169.00,1256.10,1259.70,1132.50,51.49K,-6.93%
15-Mar-17,1256.10,1245.00,1262.00,1241.30,15.84K,0.89%
14-Mar-17,1245.00,1238.50,1257.90,1218.90,17.97K,0.52%
